"","iso","ghg_ambition_n","new_pm_n","change_cond","cw_2030","year1","year2","gdp_pc","polyarchy","participdem","dem_change","dem_change_d","polity","v2x_frassoc_thick","v2x_cspart","v2cscnsult","v2csreprss","stake_consult","consult_index","qog_2020","first_soc","last_soc","pol_change","right_change","first","last","ideo_change","any_elect","any_change","gdp_growth","long_gdp_growth","unemployment","year","co2pc","gain","pre_rents","post_rents","change_rents","pre_fossil","post_fossil","change_fossil","pre_affect","post_affect","change_affect","pre_cfinance","post_cfinance","change_cfinance","paris_support","protect_env","region","log_gdp_pc"
"1","ALB",1,1,0,1,2016,2021,3952.80121524465,0.508,0.314,-0.03,0,9,0.817,0.592,0.285,1.638,0,-1.09470192687758,0.47222221,0.375,0.5,1,1,3,1,"right",1,1,-3.40231674193589,2.54935857948763,NA,2018,1.93973156347946,0.408243135147946,2.61966271556196,1.52518479867293,-1.09447791688903,2.33024240909678,1.07229923917993,0.460397955610187,0.013075452672178,0.00126467737255219,0.160895526793865,0.000736308382925147,0.00133910304749852,0.00060279466457337,NA,NA,1,8.28217977497044
"2","AND",0,1,0,0,2017,2020,35770.7767044085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,0,1.83306059347608,1.57425431733354,NA,2018,5.97340536048203,0.2470191799611,0,0,0,0,0,1,0,0,1,0,0,0,NA,0.72609561752988,5,10.4848865458672
"3","AGO",0,1,0,1,2020,2021,4166.97983330278,0.353,0.106,-0.002,0,NA,0.565,0.432,-0.553,-0.19,1,-0.847130818752318,0.39583334,0.5,0.5,0,0,3,3,"no change",1,0,-8.39624119385249,-3.7956079652012,NA,2018,0.88738036390839,0.543063453849043,33.5204741717512,NA,NA,25.9964759095005,0,0.0000384652726857441,0.00147825291883298,0,0.403510066466866,0.0000424734064141669,0,-0.0000424734064141669,NA,NA,4,8.33494679179058
"4","ATG",1,1,0,0,2016,2021,14285.3297773091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,0,-20.8549349330109,3.96278455965997,NA,2018,5.50466338464095,0.47158984760727,0,0,0,0,0,1,0.0433555315789989,0.00943149069950223,0.235179025662748,0.000313767767660041,0.000415778285739191,0.00010201051807915,NA,NA,10,9.56698839996432
"5","ARG",1,1,1,1,2016,2021,13789.060424772,0.762,0.507,0.0569999999999999,1,9,0.909,0.862,1.268,1.827,1,0.633417581563268,0.5,0,0.167,1,1,1,3,"left",1,1,-10.7651077297352,-2.99438788864292,11.460000038147,2018,3.9872341980589,0.470457592651683,2.92667861615254,1.5657667525463,-1.36091186360624,2.43986833899815,1.04903745396628,0.430190124223277,0.00100950080716593,0.000354666803001184,0.674131007148843,0.000019628134064622,0.000108749289548186,0.0000891211554835639,0.807,0.417746759720837,2,9.53163083393178
"6","ARM",1,1,0,1,2017,2021,3607.28929855361,0.39,0.256,0.349,1,5,0.718,0.689,0.094,0.814,1,-0.321093029074018,0.38425925,0,0,0,0,0,2,"center",0,1,-7.5720605257634,7.38219727969849,12.1800003051758,2018,1.88024626821933,0.337432497977301,0.512446641379279,1.14892196260098,0.636475321221704,0,0.000000357082142283435,1.00035708214228,0.00287646473738789,0.00137779237585773,0.613391978759485,0.00105283108865571,0.00102423055078852,-0.0000286005378671913,NA,NA,1,8.19071188244295
"7","AUS",0,1,0,0,2016,2021,56755.7217124249,0.887,0.616,-0.033,0,10,0.898,0.861,1.401,1.784,0,-0.641024822332768,0.8888889,0,0,0,0,1,1,"no change",1,0,-1.27852628341415,0.571102988410345,6.46000003814697,2018,15.475516485656,0.479701869855454,3.89116970352291,4.99152597747754,1.10035627395463,2.26555824263024,1.54085615283775,0.680263195464367,0.00928672717680567,0.000286804839225599,0.125093707367594,0,0,0,0.799800796812749,NA,5,10.9465117533878
"8","BHR",0,1,NA,0,2016,2021,22634.0856475674,0.131,0.038,-0.00900000000000001,0,-10,0.123,0.173,-1.427,-1.911,1,-1.55772900759132,0.59375,0,0,0,0,0,0,"no change",0,0,-8.45537049876401,-2.32252085763781,NA,2018,19.5929758385156,0.417772393608188,6.3208937412601,3.6940045807041,-2.626889160556,7.66248066649171,2.95473241693757,0.385690594857425,0,0,1,0,0,0,NA,NA,3,10.0272122635413
"9","BGD",1,1,0,1,2016,2021,1248.45330989613,0.28,0.134,-0.013,0,1,0.547,0.71,1.079,0.071,1,0.479752755830349,0.41666666,0.125,0.125,0,0,0,0,"no change",1,0,2.47635985204822,7.04528876097589,NA,2018,0.512837313770296,0.518711858027425,0.821776647554646,0.558467846030758,-0.263308801523888,0.99402404443172,0.338208285656652,0.34090461185828,0.0254357461023597,0.0169116040554251,0.677552431698769,0.000349836628712964,0.000884935683096235,0.000535099054383271,NA,NA,8,7.1296607120611
"10","BRB",1,1,1,1,2016,2021,16524.899501274,0.773,0.338,0.024,1,NA,0.883,0.893,1.816,2.232,1,1.07896427204813,NA,0.25,0.2,1,0,1,3,"left",1,1,-19.07818762048,-0.228750840137266,NA,2018,4.36087077867709,0.396215852502981,0.323803133280739,0.232214696927876,-0.0915884363528631,0.420613247963272,0.175243296984047,0.418021250127794,0.00242156447262709,0,0.292263965212439,0.0011402364193939,0,-0.0011402364193939,NA,NA,10,9.71262358308409
"11","BLR",1,1,0,1,2016,2021,5949.10630699748,0.256,0.096,-0.073,0,-7,0.378,0.399,-1.118,0.055,0,-1.66505047318257,0.43055555,0.875,0.875,0,0,0,0,"no change",1,0,-0.479446185047166,1.60481819172,4.05000019073486,2018,6.28364773644065,0.326182094472317,1.74252725536559,1.58728705151966,-0.155240203845926,0.916946383898786,0.454457142339564,0.496169656886826,0.000547831529689114,0.00266006299634637,2.3646391265085,0.000111294884692463,0.000232195182300992,0.000120900297608529,NA,NA,1,8.69099628675382
"12","BLZ",NA,1,1,0,2016,2021,4770.23265563888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"no change",1,0,-15.5827414437054,-0.135066237124235,NA,2018,1.77512784836231,0.472251738101211,1.89751439186735,1.40869409719321,-0.488820294674135,3.64733066183685,0.807659607578783,0.221651950585982,0.041427744122041,0.0754487313295827,1.80185708459263,0.000134999920199306,0.000582942276911396,0.00044794235671209,NA,NA,2,8.47015035746
"13","BEN",0,1,0,0,2017,2021,1076.79670153022,0.711,0.476,-0.29,0,7,0.877,0.93,2.372,2.146,1,1.53101529378096,NA,0.2,0,1,0,0,0,"no change",1,0,1.09009852710551,4.00308913488962,NA,2018,0.688722324311593,0.446956390697288,5.02618552396034,2.87525828313444,-2.1509272408259,0.0158569404886112,0.0858640425403714,5.15301353760238,0.00949775622677733,0.000288702700393081,0.12275982339025,0.000266862948059376,0.0011561138463825,0.000889250898323123,NA,NA,4,6.98174589567089
"14","BTN",0,1,0,0,2017,2021,2752.63017233678,0.567,0.36,0.00600000000000001,1,5,0.632,0.774,1.585,1.203,1,0.891151707263456,NA,0.167,0.143,1,0,0,0,"no change",0,0,-11.0690288043469,4.54973728489323,NA,2018,1.82927799192997,0.484918873044531,4.50186997092679,2.51789909144879,-1.983970879478,0.113044070005666,0,0.00876854009112719,0.0125022301239403,0,0.0740618394754611,0.001843989146514,0.000662323107692404,-0.00118166603882159,NA,NA,8,7.92031215988068
"15","BIH",1,0,0,1,2017,2021,4727.27633310331,0.556,0.337,-0.03,0,-66,0.828,0.671,0.374,1.868,1,-0.0934414353956191,NA,0,0,0,0,0,0,"no change",1,0,-2.60143470404519,3.5453373948871,15.8699998855591,2018,6.78113160660171,0.357424308530784,1.57963898397035,1.14377046507292,-0.435868518897432,0.760478573451893,0.208003381784976,0.274470469782929,0.0173087962595798,0.00120049128901326,0.12018765503832,0.000744568894062611,0.000845528275484238,0.000100959381421627,NA,NA,1,8.46110448753676
"16","BRA",0,1,0,0,2016,2020,8814.00141787464,0.808,0.549,-0.13,0,8,0.917,0.813,1.232,2.103,0,-0.709726821139285,0.4861111,0.182,0,1,0,3,1,"right",1,1,0.651853445818901,0.988960032623851,12.0500001907349,2018,2.04187419904738,0.501336214395501,2.59649266972444,3.13851966004433,0.542026990319886,1.76762295984856,1.26690250769944,0.716886830310063,0.000793484416820298,0.0048208762522046,3.24556834596006,0.0000539704741222295,0.0000958112698149152,0.0000418407956926857,0.88,0.543132803632236,2,9.08409680626811
"17","BFA",1,1,0,1,2016,2021,653.32726813947,0.725,0.445,-0.0609999999999999,0,6,0.837,0.919,2.908,1.641,1,1.96680548739389,0.41666666,0.571,0.8,1,1,2,2,"no change",1,0,-0.907160523079824,2.72407212531654,NA,2018,0.21618648458803,0.528877253582147,9.03002432545789,9.4128931594364,0.382868833978502,0,0,1,0.00177090689973458,0.000478436716222438,0.533556979617054,0.000538166002536359,0.000940738405519359,0.000402572402983,0.864,NA,4,6.48207818005337
"18","BDI",0,1,0,1,2018,2021,305.549646023245,0.157,0.151,0.027,1,-1,0.142,0.482,0.103,-1.849,1,-0.313775656420069,NA,0.167,0,1,0,0,0,"no change",1,0,-2.74070846256809,-1.29476823572824,NA,2018,0.0527946300523678,0.522315286660178,21.9836547777539,10.2669872930148,-11.7166674847391,0,0,1,0.00080143779247575,0.000783596458016459,0.990096058529575,0.00242152625950732,0.00162775450576634,-0.000793771753740974,NA,NA,4,5.72211227284981
"19","CPV",NA,1,0,0,2017,2021,3043.03138156811,0.774,0.475,-0.027,0,10,0.91,0.711,0.97,2.886,1,0.391131242576972,NA,0,0,0,0,2,2,"no change",0,0,-15.7109984705467,4.48183015631996,NA,2018,1.14020052817031,0.385477524857862,0.568975589691867,0.465169048843073,-0.103806540848793,0,0,1,0.000154109483486655,0,0.866468921976901,0.00194667564424414,0.000512715855108825,-0.00143395978913532,NA,NA,4,8.02060946255103
"20","KHM",1,0,0,0,2017,2020,1162.90499489448,0.232,0.154,-0.037,0,-4,0.27,0.438,-0.547,-1.003,1,-0.842252570316353,NA,0,0,0,0,3,3,"no change",1,0,5.51680828875165,5.87938583851239,0.5,2018,0.686777894736518,0.393904762199011,3.6655618913001,1.16523617536798,-2.50032571593211,0,0.000986289110404542,1.98628911040454,0.0283947167057534,0.0120270323291253,0.443175978170781,0.000378652764133784,0.000544392047627233,0.000165739283493449,NA,NA,7,7.05867645949528
"21","CMR",1,1,1,1,2016,2021,1327.50256128813,0.33,0.138,-0.031,0,-4,0.513,0.558,-0.09,-0.894,1,-0.470692647776966,0.31944445,0.333,0.333,0,0,0,0,"no change",1,0,-2.04245466490876,0.835333750899835,NA,2018,0.34184290843119,0.462496237701737,7.76221906062548,6.16371416664516,-1.59850489398033,4.63210727113454,2.29607033662573,0.495794766276418,0.000606458406805766,0.000253214666922622,0.780110248490328,0.000160103697489972,0.000490576276362764,0.000330472578872792,NA,NA,4,7.19105468252149
"22","CAN",1,1,0,1,2016,2021,43596.1355365546,0.841,0.593,0.016,1,10,0.867,0.929,1.928,2.048,1,1.17002490951949,0.9050926,0,0.25,1,1,3,3,"no change",1,0,-6.31922236990395,0.426917853285573,9.46000003814697,2018,15.4970252672198,0.433493772078883,2.7199452690187,1.51799288163198,-1.20195238738672,1.41006106517314,1.03525013349673,0.734376533427757,0.000173671259197979,0.000436344371061221,1.22380467256456,0,0,0,0.876,0.612493777999005,5,10.6827237909262
"23","TCD",0,1,0,0,2017,2021,776.019752284262,0.263,0.131,-0.054,0,-2,0.434,0.569,-0.864,-0.758,1,-1.09998669601654,NA,0.2,0,1,0,0,0,"no change",1,1,-3.83567515256786,0.209664512309331,NA,2018,0.0691315979407054,0.540632372498568,18.6002096225884,22.4087888273113,3.80857920472297,17.0195556584807,13.2851325284128,0.780593348125675,0.00599758109970176,0.000379562254630157,0.197148448152885,0.000093261748726404,0.000112164568593743,0.0000189028198673386,NA,NA,4,6.65417797383384
